id,titulo,link,preco,preco_original,desconto,vendedor,seller_id,reputation_level,power_seller_status,rating_medio,total_reviews,rating_5_estrelas,rating_4_estrelas,rating_3_estrelas,rating_2_estrelas,rating_1_estrela,tem_reviews,reviews_com_texto,reviews_com_imagens,avaliacoes_positivas,avaliacoes_negativas,avaliacoes_neutras,marca,condicao,descricao_produto,caracteristicas_principais,frete_gratis,shipping_mode,tempo_entrega,imagem_url,fotos_produto,product_id,sku,brand,data_coleta,tem_dados_detalhados,qualidade_extracao_detalhada,score_qualidade_detalhes,vendas_loja,vendas_produto,devolucao_gratis,compra_garantida,tempo_garantia,timestamp_extracao_detalhada,metodo_extracao_detalhada,tamanho_resposta_bytes,status_resposta_http
MLB36751629,Cartucho de tinta preta HP Advantage 664 de 2 ml,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB4198173329&sid=search,BRL 65.73,R$ 78,Sem desconto,Eshop,1737442603,5_green,platinum,4.7,4954,3470,1238,148,49,49,True,0,0,4708,98,148,N/A,Novo,Cartucho de tinta preta de 2 mL. | Rendimento aproximado de 100 páginas. | Não é recarregável.,,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_859652-MLA93093237434_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_859652-MLA93093237434_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36751629,MLB36751629,HP,2025-09-28T19:06:36.633520,True,excelente,83.3,,100000,Sim,Sim,30 dias,2025-09-28T19:01:39.371369,spider_scrapy,691529,200
MLB37141763,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB3713375243&sid=search,BRL 59,R$ 63,6.3%,OBERO INFORMATICA,676710281,5_green,platinum,4.8,7451,5218,1862,223,74,74,True,0,0,7080,148,223,N/A,Novo,Unidades por embalagem: 1. | Conteúdo total em volume: 2 mL. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho do tipo original. | Rendimentos 120 páginas,,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_886903-MLA87439311815_072025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_886903-MLA87439311815_072025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB37141763,MLB37141763,HP,2025-09-28T19:06:36.633520,True,excelente,83.3,,100000,Sim,Sim,30 dias,2025-09-28T19:01:41.792794,spider_scrapy,673772,200
MLB36752265,"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB5739828170&sid=search,BRL 61.96,R$ 77,Sem desconto,Mercado Livre,480263032,5_green,platinum,4.7,4954,3470,1238,148,49,49,True,0,0,4708,98,148,N/A,Novo,"Linha Advantage. | Conteúdo total em volume: 2 mL. | Cor da tinta: Colorido. | Unidades por embalagem: 1. | Tipo de tinta: Preto: Pigmentado, Colorido: Corante. | Rendimento de páginas: 100.",,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_639008-MLA91921137841_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_639008-MLA91921137841_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36752265,MLB36752265,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,10000,Sim,Sim,30 dias,2025-09-28T19:01:44.313261,spider_scrapy,695318,200
MLB48102366,Kit 2 Cartuchos Hp 664xl (preto + Color) 2136 2676,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664xl-preto-color-2136-2676/p/MLB48102366#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB5719977782&sid=search,BRL 295.67,R$ 314,Sem desconto,Park Ecom,1301646661,5_green,platinum,4.6,113,80,28,3,1,1,True,0,0,108,2,3,N/A,Novo,Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 300 páginas.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_921961-MLA83444909992_042025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_921961-MLA83444909992_042025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB48102366,MLB48102366,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-28T19:01:47.523686,spider_scrapy,669817,200
MLB43544566,Cartucho De Tinta Hp 664xl Preto F6v31ab,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-preto-f6v31ab/p/MLB43544566#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB5742686206&sid=search,BRL 135,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,4.8,24,18,6,0,0,0,True,0,0,24,0,0,N/A,Novo,Unidades por embalagem: 1. | Cor da tinta: Preto. | Unidades por kit: 1. | Formato de venda: Unidade. | Cartucho de tipo original.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_734097-MLA80620713520_112024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_734097-MLA80620713520_112024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB43544566,MLB43544566,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-28T19:01:51.115858,spider_scrapy,646990,200
N/A,Cartucho Tinta Original Hp 664 Preto F6v29ab 2136 2676 3776,https://www.mercadolivre.com.br/cartucho-tinta-original-hp-664-preto-f6v29ab-2136-2676-3776/up/MLBU753315902#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB2671518847&sid=search,BRL 64.9,N/A,Sem desconto,OBERO INFORMATICA,676710281,5_green,platinum,4.7,315,222,78,9,3,3,True,0,0,300,6,9,N/A,Novo,Unidades por embalagem: 1 | Conteúdo total em volume: 2 mL | Cor da tinta: Preto | Unidades por kit: 1 | Formato de venda: Unidade | Cartucho do tipo original. | Rende 100 páginas,,Não,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_604903-MLA50235451064_062022-E.webp,"https://http2.mlstatic.com/D_NQ_NP_604903-MLA50235451064_062022-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLBU753315902,MLBU753315902,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-28T19:01:54.674500,spider_scrapy,632662,200
MLB36768292,Cartucho De Tinta Hp 664 Preto,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-preto/p/MLB36768292#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB4199954843&sid=search,BRL 177.99,N/A,Sem desconto,Tec Print ,69438105,5_green,platinum,4.7,4954,3470,1238,148,49,49,True,0,0,4708,98,148,N/A,Novo,Linha Advantage. | Conteúdo total em volume de 2 mL. | Cor da tinta: Preto/Pigmentado e Tricolor/Corante. | Unidades por embalagem: 1. | Tipo de tinta: Preto Pigmentado e Colorido Corante. | Rendimento de páginas: 100.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_907517-MLA84489489161_052025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_907517-MLA84489489161_052025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36768292,MLB36768292,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,5000,Sim,Sim,30 dias,2025-09-28T19:01:58.245901,spider_scrapy,695354,200
MLB36779932,2 Cartuchos 664 Preto Black Impressora Hp Deskjet,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB4160125791&sid=search,BRL 128.92,R$ 152,Sem desconto,VIIT,127270513,5_green,platinum,4.7,4954,3470,1238,148,49,49,True,0,0,4708,98,148,N/A,Novo,Cartuchos com tinta pigmentada preta. | Rendimento de até 100 páginas por cartucho. | Recarregáveis para múltiplo uso.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_776710-MLU76109215014_052024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_776710-MLU76109215014_052024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB36779932,MLB36779932,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,1000,Sim,Sim,30 dias,2025-09-28T19:02:01.863478,spider_scrapy,690344,200
MLB39028313,Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB5729014430&sid=search,BRL 134.9,N/A,Sem desconto,offpriceecommerce,1629013117,5_green,gold,4.7,4954,3470,1238,148,49,49,True,0,0,4708,98,148,N/A,Novo,"Linha Advantage com tinta preta e tricolor para impressões de alta qualidade. | Cartucho de 2 mL, ideal para uso diário.",,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_822808-MLU78194489785_082024-E.webp,"https://http2.mlstatic.com/D_NQ_NP_822808-MLU78194489785_082024-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB39028313,MLB39028313,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,5000,Sim,Sim,30 dias,2025-09-28T19:02:04.260921,spider_scrapy,693734,200
MLB39028582,3 Cartuchos Hp 664xl Preto 2 Color Genuíno,https://www.mercadolivre.com.br/3-cartuchos-hp-664xl-preto-2-color-genuino/p/MLB39028582#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=cad1eb9a-9369-4361-b478-5fbda52df646&wid=MLB4973488738&sid=search,BRL 619.5,N/A,Sem desconto,Park Ecom,1301646661,5_green,platinum,4.6,113,80,28,3,1,1,True,0,0,108,2,3,N/A,Novo,Formato de venda: Kit. | Cartucho do tipo original. | É recarregável. | Tinta pigmentada. | Rende 300 páginas.,,Sim,me2,Consultar no site,https://http2.mlstatic.com/D_Q_NP_2X_633784-MLA91969127157_092025-E.webp,"https://http2.mlstatic.com/D_NQ_NP_633784-MLA91969127157_092025-O.webp; data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MLB39028582,MLB39028582,HP,2025-09-28T19:06:36.634819,True,excelente,83.3,,100,Sim,Sim,30 dias,2025-09-28T19:02:07.680261,spider_scrapy,654755,200
